0,0.5489734816
1,0.1977384517
2,0.0754384089
3,0.0386013687
4,0.0226689478
5,0.0160126176
6,0.0115215997
7,0.0101047904
8,0.0081533362
9,0.0072711719
10,0.0048652695
11,0.0047583405
13,0.0039831052
12,0.0037959795
14,0.0026464927
15,0.002352438
16,0.0022989735
18,0.0022187767
17,0.0021920445
19,0.0014168092
21,0.0013366125
24,0.0013098802
22,0.001283148
20,0.0012296835
23,0.0010960222
27,0.000962361
25,0.0008019675
31,0.0007752352
28,0.000748503
29,0.000748503
30,0.000748503
33,0.000748503
26,0.0006950385
32,0.000641574
34,0.0006148417
36,0.0005613772
37,0.0004811805
40,0.0004811805
44,0.0004811805
39,0.0004544482
50,0.0004544482
41,0.0004009837
51,0.0004009837
42,0.0004009837
46,0.0004009837
45,0.0003742515
43,0.0003475192
47,0.000320787
38,0.000320787
35,0.000320787
68,0.0002940547
52,0.0002940547
57,0.0002940547
55,0.0002673225
62,0.0002673225
48,0.0002673225
49,0.0002405902
69,0.0002405902
53,0.000213858
85,0.000213858
61,0.000213858
67,0.000213858
150,0.000213858
70,0.0001871257
66,0.0001871257
75,0.0001871257
93,0.0001871257
65,0.0001871257
72,0.0001871257
122,0.0001871257
58,0.0001603935
95,0.0001603935
56,0.0001603935
141,0.0001603935
73,0.0001603935
78,0.0001603935
59,0.0001603935
109,0.0001603935
76,0.0001336612
87,0.0001336612
103,0.0001336612
106,0.0001336612
54,0.0001336612
80,0.0001336612
110,0.0001336612
64,0.000106929
71,0.000106929
88,0.000106929
89,0.000106929
92,0.000106929
96,0.000106929
99,0.000106929
131,0.000106929
201,0.000106929
60,0.000106929
77,0.000106929
79,0.000106929
83,0.000106929
97,0.000106929
124,0.000106929
188,0.000106929
100,0.000106929
102,0.000106929
81,8.0196749358426E-05
94,8.0196749358426E-05
135,8.0196749358426E-05
142,8.0196749358426E-05
149,8.0196749358426E-05
158,8.0196749358426E-05
63,8.0196749358426E-05
74,8.0196749358426E-05
84,8.0196749358426E-05
126,8.0196749358426E-05
129,8.0196749358426E-05
160,8.0196749358426E-05
172,8.0196749358426E-05
113,8.0196749358426E-05
116,8.0196749358426E-05
152,8.0196749358426E-05
155,8.0196749358426E-05
173,8.0196749358426E-05
114,8.0196749358426E-05
127,8.0196749358426E-05
134,8.0196749358426E-05
108,5.3464499572284E-05
119,5.3464499572284E-05
147,5.3464499572284E-05
171,5.3464499572284E-05
180,5.3464499572284E-05
200,5.3464499572284E-05
86,5.3464499572284E-05
105,5.3464499572284E-05
121,5.3464499572284E-05
137,5.3464499572284E-05
146,5.3464499572284E-05
161,5.3464499572284E-05
162,5.3464499572284E-05
166,5.3464499572284E-05
170,5.3464499572284E-05
107,5.3464499572284E-05
111,5.3464499572284E-05
130,5.3464499572284E-05
163,5.3464499572284E-05
198,5.3464499572284E-05
136,5.3464499572284E-05
144,5.3464499572284E-05
153,5.3464499572284E-05
159,5.3464499572284E-05
191,5.3464499572284E-05
112,2.6732249786142E-05
115,2.6732249786142E-05
117,2.6732249786142E-05
128,2.6732249786142E-05
139,2.6732249786142E-05
145,2.6732249786142E-05
176,2.6732249786142E-05
181,2.6732249786142E-05
184,2.6732249786142E-05
189,2.6732249786142E-05
202,2.6732249786142E-05
208,2.6732249786142E-05
247,2.6732249786142E-05
383,2.6732249786142E-05
138,2.6732249786142E-05
143,2.6732249786142E-05
151,2.6732249786142E-05
187,2.6732249786142E-05
194,2.6732249786142E-05
223,2.6732249786142E-05
388,2.6732249786142E-05
90,2.6732249786142E-05
98,2.6732249786142E-05
101,2.6732249786142E-05
125,2.6732249786142E-05
132,2.6732249786142E-05
140,2.6732249786142E-05
148,2.6732249786142E-05
177,2.6732249786142E-05
193,2.6732249786142E-05
205,2.6732249786142E-05
212,2.6732249786142E-05
286,2.6732249786142E-05
351,2.6732249786142E-05
82,2.6732249786142E-05
91,2.6732249786142E-05
120,2.6732249786142E-05
123,2.6732249786142E-05
156,2.6732249786142E-05
164,2.6732249786142E-05
165,2.6732249786142E-05
167,2.6732249786142E-05
175,2.6732249786142E-05
179,2.6732249786142E-05
183,2.6732249786142E-05
195,2.6732249786142E-05
197,2.6732249786142E-05
199,2.6732249786142E-05
329,2.6732249786142E-05
400,2.6732249786142E-05
